Approach,Model,CV_ROC,Test_Accuracy,Test_Sensitivity,Test_Specificity,Test_ROC,Test_F1
Baseline,Logistic (Baseline),0.8761845051500223,0.788235294117647,0.45588235294117646,0.9090909090909091,0.8614344133375276,0.5344827586206896
Baseline,SVM (Baseline),0.9235882221227049,0.8431372549019608,0.6176470588235294,0.9251336898395722,0.8799150676313306,0.6774193548387097
Baseline,Random Forest (Baseline),0.976692789968652,0.9058823529411765,0.7941176470588235,0.946524064171123,0.9809688581314879,0.8181818181818182
SMOTE,Logistic (SMOTE),0.8659527541424094,0.788235294117647,0.7058823529411765,0.8181818181818182,0.8611984900912236,0.64
SMOTE,SVM (SMOTE),0.9308654276757725,0.8392156862745098,0.7058823529411765,0.8877005347593583,0.8811733249449513,0.7007299270072992
SMOTE,Random Forest (SMOTE),0.9690248544558889,0.9176470588235294,0.8823529411764706,0.93048128342246,0.9734193142497641,0.8510638297872339
Enhanced,Logistic (Enhanced),0.8833945364979848,0.8156862745098039,0.7205882352941176,0.8502673796791443,0.8808587606165461,0.6758620689655173
Enhanced,SVM (Enhanced),0.899974249888043,0.8392156862745098,0.7205882352941176,0.8823529411764706,0.8843189682290028,0.7050359712230215
Enhanced,Random Forest (Enhanced),0.9663983430362741,0.8941176470588236,0.8529411764705882,0.9090909090909091,0.960797420572507,0.8111888111888111
